Name	Ordinal
RtlQueryDepthSList	678
RtlQueryDynamicTimeZoneInformation	679
RtlQueryElevationFlags	680
RtlQueryEnvironmentVariable	681
RtlQueryEnvironmentVariable_U	682
RtlQueryHeapInformation	683
RtlQueryModuleInformation	684
RtlQueryPerformanceCounter	685
RtlQueryPerformanceFrequency	686
RtlQueryProcessBackTraceInformation	687
RtlQueryProcessDebugInformation	688
RtlQueryProcessHeapInformation	689
RtlQueryProcessLockInformation	690
RtlQueryRegistryValues	691
RtlQueryRegistryValuesEx	692
RtlQueryTagHeap	693
RtlQueryThreadProfiling	694
RtlQueryTimeZoneInformation	695
RtlQueryUnbiasedInterruptTime	696
RtlQueryValidationRunlevel	697
RtlQueueWorkItem	698
RtlRaiseException	699
RtlRaiseStatus	700
RtlRandom	701
RtlRandomEx	702
RtlRbInsertNodeEx	703
RtlRbRemoveNode	704
RtlReAllocateHeap	705
RtlReadThreadProfilingData	706
RtlRealPredecessor	707
RtlRealSuccessor	708
RtlRegisterSecureMemoryCacheCallback	709
RtlRegisterWait	710
RtlReleasePath	711
RtlReleasePebLock	712
RtlReleaseRelativeName	713
RtlReleaseResource	714
RtlReleaseSRWLockExclusive	715
RtlReleaseSRWLockShared	716
RtlRemoveEntryHashTable	717
RtlRemoveVectoredContinueHandler	718
RtlRemoveVectoredExceptionHandler	719
RtlResetMemoryBlockLookaside	720
RtlResetMemoryZone	721
RtlResetRtlTranslations	722
RtlRestoreContext	723
RtlRestoreLastWin32Error	724
RtlRunOnceBeginInitialize	725
RtlRunOnceComplete	726
RtlRunOnceExecuteOnce	727
RtlRunOnceInitialize	728
RtlSecondsSince1970ToTime	729
RtlSecondsSince1980ToTime	730
RtlSetAllBits	731
RtlSetBit	732
RtlSetBits	733
RtlSetCriticalSectionSpinCount	734
RtlSetCurrentDirectory_U	735
RtlSetCurrentEnvironment	736
RtlSetDynamicTimeZoneInformation	737
RtlSetEnvironmentStrings	738
RtlSetEnvironmentVar	739
RtlSetEnvironmentVariable	740
RtlSetExtendedFeaturesMask	741
RtlSetHeapInformation	742
RtlSetIoCompletionCallback	743
RtlSetLastWin32Error	744
RtlSetLastWin32ErrorAndNtStatusFromNtStatus	745
RtlSetProcessDebugInformation	746
RtlSetProcessIsCritical	747
RtlSetSearchPathMode	748
RtlSetThreadErrorMode	749
RtlSetThreadIsCritical	750
RtlSetThreadPoolStartFunc	751
RtlSetTimeZoneInformation	752
RtlSetUnhandledExceptionFilter	753
RtlSetUserFlagsHeap	754
RtlSetUserValueHeap	755
RtlSizeHeap	756
RtlSleepConditionVariableCS	757
RtlSleepConditionVariableSRW	758
RtlSplay	759
RtlStringFromGUID	760
RtlSubtreePredecessor	761
RtlSubtreeSuccessor	762
RtlSystemTimeToLocalTime	763
RtlTestBit	764
RtlTimeFieldsToTime	765
RtlTimeToElapsedTimeFields	766
RtlTimeToSecondsSince1970	767
RtlTimeToSecondsSince1980	768
RtlTimeToTimeFields	769
RtlTryAcquirePebLock	770
RtlTryAcquireSRWLockExclusive	771
RtlTryAcquireSRWLockShared	772
RtlTryConvertSRWLockSharedToExclusiveOrRelease	773
RtlTryEnterCriticalSection	774
RtlUTF8ToUnicodeN	775
RtlUnhandledExceptionFilter	776
RtlUnhandledExceptionFilter2	777
RtlUnicodeStringToAnsiSize	778
RtlUnicodeStringToAnsiString	779
RtlUnicodeStringToInteger	780
RtlUnicodeToMultiByteN	781
RtlUnicodeToMultiByteSize	782
RtlUnicodeToUTF8N	783
RtlUniform	784
RtlUnlockHeap	785
RtlUnwind	786
RtlUnwindEx	787
RtlUpcaseUnicodeChar	788
RtlUpcaseUnicodeString	789
RtlUpcaseUnicodeStringToAnsiString	790
RtlUpcaseUnicodeToMultiByteN	791
RtlUpdateClonedCriticalSection	792
RtlUpdateClonedSRWLock	793
RtlUpdateTimer	794
RtlUpperChar	795
RtlUpperString	796
RtlUserThreadStart	797
RtlValidateHeap	798
RtlValidateProcessHeaps	799
RtlValidateUnicodeString	800
RtlVerifyVersionInfo	801
RtlVirtualUnwind	802
RtlWaitOnAddress	803
RtlWakeAddressAll	804
RtlWakeAddressAllNoFence	805
RtlWakeAddressSingle	806
RtlWakeAddressSingleNoFence	807
RtlWakeAllConditionVariable	808
RtlWakeConditionVariable	809
RtlWalkFrameChain	810
RtlWalkHeap	811
RtlWeaklyEnumerateEntryHashTable	812
RtlWriteRegistryValue	813
RtlZeroHeap	814
RtlZeroMemory	815
RtlpCheckDynamicTimeZoneInformation	816
RtlpFreezeTimeBias	817
RtlpNotOwnerCriticalSection	818
RtlpWaitForCriticalSection	819
RtlxAnsiStringToUnicodeSize	820
RtlxUnicodeStringToAnsiSize	821
TpAllocAlpcCompletion	822
TpAllocAlpcCompletionEx	823
TpAllocCleanupGroup	824
TpAllocIoCompletion	825
TpAllocPool	826
TpAllocTimer	827
TpAllocWait	828
TpAllocWork	829
TpAlpcRegisterCompletionList	830
TpAlpcUnregisterCompletionList	831
TpCallbackDetectedUnrecoverableError	832
TpCallbackIndependent	833
TpCallbackLeaveCriticalSectionOnCompletion	834
TpCallbackMayRunLong	835
TpCallbackReleaseMutexOnCompletion	836
TpCallbackReleaseSemaphoreOnCompletion	837
TpCallbackSetEventOnCompletion	838
TpCallbackUnloadDllOnCompletion	839
TpCancelAsyncIoOperation	840
TpCaptureCaller	841
TpCheckTerminateWorker	842
TpDbgDumpHeapUsage	843
TpDbgSetLogRoutine	844
TpDisablePoolCallbackChecks	845
TpDisassociateCallback	846
TpIsTimerSet	847
TpPostWork	848
TpQueryPoolStackInformation	849
TpReleaseAlpcCompletion	850
TpReleaseCleanupGroup	851
TpReleaseCleanupGroupMembers	852
TpReleaseIoCompletion	853
TpReleasePool	854
TpReleaseTimer	855
TpReleaseWait	856
TpReleaseWork	857
TpSetDefaultPoolMaxThreads	858
TpSetDefaultPoolStackInformation	859
TpSetPoolAffinityMask	860
TpSetPoolMaxThreads	861
TpSetPoolMinThreads	862
TpSetPoolStackInformation	863
TpSetPoolThreadBasePriority	864
TpSetTimer	865
TpSetTimerEx	866
TpSetWait	867
TpSetWaitEx	868
TpSimpleTryPost	869
TpStartAsyncIoOperation	870
TpTimerOutstandingCallbackCount	871
TpWaitForAlpcCompletion	872
TpWaitForIoCompletion	873
TpWaitForTimer	874
TpWaitForWait	875
TpWaitForWork	876
VerSetConditionMask	877
ZwAlertResumeThread	878
ZwAlertThread	879
ZwAlertThreadByThreadId	880
ZwAllocateLocallyUniqueId	881
ZwAllocateReserveObject	882
ZwAllocateUserPhysicalPages	883
ZwAllocateUuids	884
ZwAllocateVirtualMemory	885
ZwAlpcAcceptConnectPort	886
ZwAlpcCancelMessage	887
ZwAlpcConnectPort	888
ZwAlpcConnectPortEx	889
ZwAlpcCreatePort	890
ZwAlpcCreatePortSection	891
ZwAlpcCreateResourceReserve	892
ZwAlpcCreateSectionView	893
ZwAlpcCreateSecurityContext	894
