Name	Ordinal
ReleaseSRWLockShared	367
ReleaseSemaphore	368
ReleaseSemaphoreWhenCallbackReturns	369
RemoveDirectoryA	370
RemoveDirectoryW	371
RemoveVectoredContinueHandler	372
RemoveVectoredExceptionHandler	373
ResetEvent	374
ResolveLocaleName	375
RestoreLastError	376
ResumeThread	377
RtlCaptureContext	378
RtlCaptureStackBackTrace	379
RtlLookupFunctionEntry	380
RtlPcToFileHeader	381
RtlRaiseException	382
RtlRestoreContext	383
RtlUnwind	384
RtlUnwindEx	385
RtlVirtualUnwind	386
SearchPathW	387
SetConsoleCtrlHandler	388
SetConsoleMode	389
SetCriticalSectionSpinCount	390
SetCurrentDirectoryA	391
SetCurrentDirectoryW	392
SetDynamicTimeZoneInformation	393
SetEndOfFile	394
SetEnvironmentStringsW	395
SetEnvironmentVariableA	396
SetEnvironmentVariableW	397
SetErrorMode	398
SetEvent	399
SetEventWhenCallbackReturns	400
SetFileAttributesA	401
SetFileAttributesW	402
SetFileInformationByHandle	403
SetFilePointer	404
SetFilePointerEx	405
SetFileTime	406
SetFileValidData	407
SetHandleInformation	408
SetLastError	409
SetLocalTime	410
SetNamedPipeHandleState	411
SetProcessAffinityMask	412
SetProcessPriorityBoost	413
SetProcessWorkingSetSize	414
SetStdHandle	415
SetStdHandleEx	416
SetSystemFileCacheSize	417
SetThreadAffinityMask	418
SetThreadContext	419
SetThreadGroupAffinity	420
SetThreadIdealProcessorEx	421
SetThreadLocale	422
SetThreadName	423
SetThreadPriority	424
SetThreadPriorityBoost	425
SetThreadStackGuarantee	426
SetThreadpoolAffinityMask	427
SetThreadpoolStackInformation	428
SetThreadpoolThreadMaximum	429
SetThreadpoolThreadMinimum	430
SetThreadpoolTimer	431
SetThreadpoolWait	432
SetUnhandledExceptionFilter	433
SetUserGeoID	434
SetWaitableTimer	435
SetWaitableTimerEx	436
SetXStateFeaturesMask	437
SignalObjectAndWait	438
SizeofResource	439
Sleep	440
SleepConditionVariableCS	441
SleepConditionVariableSRW	442
SleepEx	443
StartThreadpoolIo	444
SubmitThreadpoolWork	445
SuspendThread	446
SwitchToFiber	447
SwitchToThread	448
SystemTimeToFileTime	449
SystemTimeToTzSpecificLocalTime	450
TerminateProcess	451
TerminateThread	452
TitleMemoryStatus	453
TlsAlloc	454
TlsFree	455
TlsGetValue	456
TlsSetValue	457
ToolingMemoryStatus	458
TraceEvent	459
TraceMessage	460
TraceMessageVa	461
TryAcquireSRWLockExclusive	462
TryAcquireSRWLockShared	463
TryEnterCriticalSection	464
TrySubmitThreadpoolCallback	465
TzSpecificLocalTimeToSystemTime	466
UnhandledExceptionFilter	467
UnlockFile	468
UnlockFileEx	469
UnmapViewOfFile	470
UnregisterTraceGuids	471
UnregisterWaitEx	472
UpdateProcThreadAttribute	473
VirtualAlloc	474
VirtualAllocEx	475
VirtualFree	476
VirtualFreeEx	477
VirtualProtect	478
VirtualProtectEx	479
VirtualQuery	480
VirtualQueryEx	481
WaitForMultipleObjects	482
WaitForMultipleObjectsEx	483
WaitForSingleObject	484
WaitForSingleObjectEx	485
WaitForThreadpoolIoCallbacks	486
WaitForThreadpoolTimerCallbacks	487
WaitForThreadpoolWaitCallbacks	488
WaitForThreadpoolWorkCallbacks	489
WaitNamedPipeW	490
WaitOnAddress	491
WakeAllConditionVariable	492
WakeByAddressAll	493
WakeByAddressSingle	494
WakeConditionVariable	495
WerRegisterFile	496
WerUnregisterFile	497
WideCharToMultiByte	498
WriteConsoleW	499
WriteFile	500
WriteFileEx	501
WriteFileGather	502
WriteProcessMemory	503
XMemAlloc	504
XMemAllocDefault	505
XMemCheckDefaultHeaps	506
XMemFree	507
XMemFreeDefault	508
XMemGetAllocationHysteresis	509
XMemGetAllocationStatistics	510
XMemGetAuxiliaryTitleMemory	511
XMemPreallocateFreeSpace	512
XMemReleaseAuxiliaryTitleMemory	513
XMemSetAllocationHooks	514
XMemSetAllocationHysteresis	515
lstrcmpA	516
lstrcmpW	517
lstrcmpiA	518
lstrcmpiW	519
DllEntryPoint	[main entry]
